       parameter            eig1            eig2            eig3            eig4            eig5            eig6            eig7            eig8            eig9           eig10           eig11           eig12           eig13           eig14           eig15           eig16           eig17           eig18           eig19           eig20 identifiability     sqrt(ident)
 kx_csl011       4.1052471E-07   7.8018585E-08   1.1523242E-04   3.7150085E-07   7.6043002E-09   4.2574955E-06   1.6473403E-04   3.2437860E-05   1.0224138E-06   8.6202663E-06   1.5483124E-10   3.8823159E-10   5.1143761E-06   4.8854288E-06   1.4975548E-04   5.9920236E-06   3.2432737E-05   1.0832798E-05   5.2741287E-09   9.3628076E-07   5.3712707E-04   2.3176002E-02
 kx_csl012       1.8177480E-12   3.2993630E-10   6.6362276E-11   1.5389873E-10   1.9195186E-11   5.1876886E-09   2.8863718E-09   8.8011486E-09   3.4410451E-11   6.2545563E-08   3.1980892E-10   1.0633159E-11   5.1969890E-08   1.0381188E-06   1.0380486E-07   1.6193199E-07   3.1193680E-07   4.9632345E-06   1.4391094E-09   9.0997405E-11   6.7128838E-06   2.5909233E-03
 kx_csl013       1.7639607E-11   1.1241786E-11   6.5144467E-07   3.7505059E-10   6.9785946E-12   1.1481787E-06   1.2218744E-07   2.2000547E-07   1.3646818E-08   2.0438363E-07   1.6069951E-09   7.5499421E-10   2.1969807E-07   2.7684150E-07   7.7471818E-08   1.1280602E-07   8.0729579E-08   1.3832536E-06   2.4850811E-11   4.2741879E-10   4.5138725E-06   2.1245876E-03
 kx_csl014       4.8714434E-10   8.9543165E-09   5.1492037E-07   2.0632831E-08   7.2845922E-12   8.5181055E-07   4.0220986E-06   1.4310220E-07   1.0490966E-06   1.0327650E-04   6.6841955E-08   3.0859779E-08   2.4667282E-05   1.4954973E-04   1.9760066E-09   8.2173070E-06   6.9012688E-06   1.7093052E-06   3.4019010E-08   9.9841967E-11   3.0106630E-04   1.7351262E-02
 kx_csl015       5.3811796E-09   7.6856627E-10   6.8657250E-07   7.2598581E-09   3.5479231E-09   2.8516515E-09   1.6748643E-06   3.0100750E-07   8.4605049E-09   6.8888840E-07   2.6999351E-10   4.0492833E-09   1.5687798E-06   9.1470791E-09   3.2226779E-06   6.5039611E-07   1.2190678E-09   7.8826486E-06   3.3299518E-10   7.7193058E-08   1.6796316E-05   4.0983309E-03
 kx_ctc001       6.4296386E-07   2.6591301E-07   1.9197505E-05   6.7616519E-08   1.3521836E-11   3.6188920E-03   2.0022056E-03   3.6276580E-04   1.3107392E-05   9.2363187E-04   3.1472413E-06   3.1651196E-06   1.7207654E-04   1.4493587E-05   4.5404077E-05   2.4070603E-04   1.5087436E-04   2.6962556E-07   1.2918122E-07   1.3241810E-06   7.5723666E-03   8.7019346E-02
 kx_ctc002       2.0252962E-08   1.9463682E-08   4.7261642E-05   7.9393144E-08   6.0076120E-09   1.1650688E-04   9.6553374E-05   8.0565496E-06   1.5241131E-07   1.6932947E-07   1.9568033E-08   6.9735787E-08   5.7706835E-07   3.7418864E-06   1.5965070E-05   3.5764688E-05   4.8238323E-05   7.1990765E-05   5.1427370E-09   6.6566889E-07   4.4586322E-04   2.1115473E-02
 kx_ctc003       9.5796176E-10   3.4948763E-09   3.0770193E-07   2.7121832E-08   1.6404520E-10   2.2686900E-03   5.5170612E-04   2.6290723E-05   3.7369901E-07   2.0896579E-07   3.9825367E-09   2.1448669E-09   1.5257504E-05   7.8847769E-06   3.9216384E-04   3.6936607E-08   8.5278640E-06   1.6537730E-05   1.2614217E-07   3.6605737E-06   3.2918104E-03   5.7374301E-02
 kx_ctc004       6.9005365E-08   6.1242944E-10   1.1224280E-05   1.3999513E-07   2.9287517E-09   6.7050495E-06   6.5827281E-05   5.4528328E-06   7.0284919E-07   1.1432085E-04   1.7688524E-07   2.1788095E-08   4.8649657E-05   1.3553432E-04   3.5703060E-05   1.7550630E-05   3.3020319E-05   5.0771202E-06   1.3011261E-08   1.6503061E-06   4.8184278E-04   2.1950918E-02
 kx_ctc005       1.2548690E-10   4.3227442E-09   1.6059034E-05   5.3415049E-09   2.7988875E-11   1.4937410E-04   3.3267251E-05   8.1325753E-08   1.3667761E-09   6.7262007E-06   4.9300236E-08   7.6353946E-08   3.3578353E-06   5.5077696E-06   1.2256591E-05   1.5284077E-05   1.5652223E-05   1.0800157E-05   1.3170213E-08   7.2710318E-09   2.6852385E-04   1.6386697E-02
 kx_ctc006       3.7730628E-12   6.8189489E-09   5.4232771E-07   2.1712887E-08   7.6923073E-09   5.7576711E-05   2.4695745E-05   1.1512246E-06   1.1735158E-06   1.0449448E-04   3.8591889E-08   1.4829908E-07   6.7401824E-05   1.7407782E-04   4.9520230E-07   1.0137241E-05   1.4699608E-05   8.5927995E-06   4.1252971E-08   5.4700174E-08   4.6535757E-04   2.1572148E-02
 kx_ctc007       2.1474177E-11   1.1137043E-07   1.7510614E-04   8.2429541E-08   2.2050243E-09   5.9415537E-03   1.9101117E-03   1.0580900E-04   2.0705869E-06   7.8069974E-06   9.0208107E-08   4.1472147E-07   2.1172238E-05   1.4466335E-04   1.1693772E-04   2.7742233E-04   3.0601310E-04   5.8814643E-06   6.5832611E-07   3.1516858E-06   9.0190593E-03   9.4968728E-02
 kx_ctc008       7.9527014E-10   2.1726215E-08   3.1040880E-07   2.1832549E-08   1.4636903E-10   7.9518837E-06   5.7615987E-08   8.3580918E-07   5.0933498E-10   6.4005583E-07   4.5721699E-09   5.1991167E-09   7.7673310E-09   3.0243269E-06   1.5034346E-06   2.8277428E-06   5.3778225E-06   8.2814747E-06   3.6344832E-09   4.4228955E-08   3.0920987E-05   5.5606642E-03
 kx_ctc009       4.5964972E-08   7.5299897E-09   7.6811691E-07   6.3310883E-10   1.9073700E-13   7.8435322E-07   1.1126838E-06   2.1129559E-06   7.1798114E-09   1.1812166E-05   6.6192463E-08   1.2456560E-07   1.0503483E-05   9.1507051E-08   5.9377837E-07   7.3056267E-08   4.3113535E-08   6.0224774E-07   1.5134532E-13   3.0031567E-12   2.8749531E-05   5.3618589E-03
 kx_ctc010       2.4583262E-08   2.1562053E-09   1.5394058E-07   9.6583045E-10   2.4585060E-12   8.2784638E-08   4.7213443E-07   9.6449494E-07   1.2820052E-08   7.9193674E-06   4.5137419E-08   9.0165756E-08   7.2582010E-06   1.5702001E-07   6.6296245E-07   6.5313319E-08   1.2367171E-07   5.3856190E-07   4.3383113E-10   2.4007634E-09   1.8577118E-05   4.3101181E-03
 kx_ctc011       6.5041045E-08   4.0539570E-08   8.2908924E-07   1.1051314E-09   5.8369802E-11   3.0066330E-05   3.7081210E-05   1.3277831E-05   1.5079837E-06   3.2466939E-05   6.2526067E-09   4.9734880E-07   1.2031241E-04   1.6624471E-04   3.9146052E-06   5.3834621E-05   6.8934841E-05   5.3495735E-06   1.2669870E-07   1.8315792E-07   5.3474035E-04   2.3124454E-02
 kx_ctc012       1.4090254E-10   4.1230578E-10   1.4256340E-07   4.8966031E-09   2.2545273E-11   1.7715642E-07   6.8020927E-07   5.6360042E-08   2.6011436E-09   1.0462567E-07   2.4840550E-10   1.5035905E-09   1.6482463E-06   2.3457716E-06   2.5592962E-07   1.4552333E-09   2.8982938E-09   5.3719314E-06   1.6612480E-09   1.1549380E-09   1.0799789E-05   3.2863032E-03
 kx_ctc013       7.9727027E-09   1.0710276E-07   2.2300541E-04   6.9234594E-10   6.8677227E-09   2.6023112E-03   7.3528563E-04   8.1226817E-05   9.6172292E-07   1.3284510E-05   5.4407989E-08   6.7125908E-08   7.8730084E-06   1.1769697E-06   4.1303554E-06   1.4943620E-04   1.8216307E-04   9.3629787E-05   2.9082945E-07   5.0039768E-09   4.0950247E-03   6.3992380E-02
 kx_ctc014       1.1473239E-10   9.0308010E-11   8.9168957E-10   1.4177287E-10   5.2980923E-11   4.2367591E-07   9.5832491E-08   4.9962580E-08   1.1177701E-10   2.3759322E-09   2.5345074E-11   3.9812254E-10   6.6616171E-08   2.5525053E-07   1.7495191E-07   1.3811402E-07   2.3776702E-07   4.9410485E-07   3.7714619E-09   2.0530965E-08   1.9647806E-06   1.4017063E-03
 kx_ctc015       5.3845694E-11   1.1655699E-09   4.6437733E-09   1.5548861E-08   8.6079681E-11   1.8860206E-04   5.3253413E-05   2.4772945E-06   5.7171869E-08   2.3260110E-08   7.0625088E-10   1.2570778E-08   1.0987736E-05   2.5917973E-06   4.2305597E-05   2.8760723E-07   2.2454901E-06   1.4606274E-06   1.0300647E-08   1.7650158E-07   3.0451363E-04   1.7450319E-02
 kx_cw001        2.3827121E-09   8.8832100E-09   8.7880697E-08   1.5685944E-08   1.5082608E-14   5.2950519E-09   4.4528554E-06   2.7141964E-07   1.0961149E-06   9.3451294E-05   4.2203299E-08   7.7388188E-08   3.5995071E-05   1.6322119E-04   2.5394160E-08   8.6175439E-06   7.4624544E-06   8.3362742E-06   3.3891049E-08   7.0880819E-10   3.2320393E-04   1.7977873E-02
 kx_cw002        4.0372902E-12   2.4825720E-12   1.1281609E-09   6.1231491E-11   1.1549685E-11   9.2880888E-07   1.3900524E-07   5.8627392E-09   7.3275636E-11   5.8433344E-09   2.3689197E-11   3.4608610E-12   8.4431798E-09   1.0831270E-09   1.1465825E-08   9.5584384E-09   3.2179702E-09   1.4852657E-10   5.5446383E-10   5.3440429E-09   1.1206436E-06   1.0586046E-03
 kx_cw003        3.2776782E-13   1.2147587E-09   3.7040260E-08   4.2869572E-09   1.7837302E-11   9.3036565E-05   2.8447968E-05   1.7353295E-06   3.6956132E-08   1.2635355E-07   1.7943028E-10   5.8794194E-09   5.6475188E-06   4.1690215E-06   1.1045143E-05   1.2677917E-08   2.6360585E-07   7.2298536E-06   4.8036157E-10   3.6537789E-08   1.5183663E-04   1.2322201E-02
 kx_cw004        6.5464541E-08   1.7990048E-08   4.4451453E-05   8.4735043E-08   5.2189578E-09   2.1550734E-04   2.1911239E-04   2.4561830E-05   5.8498090E-07   3.3564335E-06   3.7077320E-09   1.8554333E-08   2.9777669E-07   1.4862302E-06   8.2585093E-05   4.4925061E-05   8.2471132E-05   4.1027905E-05   8.1231695E-09   2.0558372E-06   7.6262726E-04   2.7615707E-02
 kx_cw005        2.8452171E-10   1.4489153E-09   8.2227687E-11   1.0701490E-09   1.5399925E-10   2.0126636E-03   5.4681714E-04   3.2287304E-05   6.2707221E-07   8.8902162E-07   2.9767865E-09   4.6252594E-09   4.8958082E-07   2.6854605E-07   5.8666483E-05   1.6140634E-06   6.0742774E-06   1.2167331E-05   3.9093084E-08   8.4425782E-07   2.6734584E-03   5.1705497E-02
 kx_cw006        4.1499980E-08   9.7112607E-08   4.2375247E-06   9.7644869E-08   1.9478920E-11   3.9403799E-05   2.0763702E-06   5.7464728E-06   6.0688272E-06   6.2759737E-04   7.3850261E-07   9.9175130E-09   3.2061576E-05   5.6115597E-04   1.4569296E-06   1.3252324E-05   1.3613201E-05   2.0012792E-05   1.0769815E-07   1.2584019E-08   1.3277881E-03   3.6438827E-02
 kx_cw007        4.4353895E-10   9.3622028E-09   1.1936562E-08   2.3782466E-08   4.6896608E-09   6.7602147E-05   2.7172724E-05   8.6276158E-07   1.0954775E-06   1.0523510E-04   5.1390107E-08   1.0562389E-07   6.3885659E-05   1.1970383E-04   1.2406377E-06   6.6619693E-06   8.5493863E-06   3.9116040E-06   2.5997385E-08   7.3831718E-08   4.0622835E-04   2.0155107E-02
 kx_cw008        4.6116755E-08   1.6422357E-07   3.1428030E-04   3.4656707E-07   2.2865795E-11   5.8275098E-03   1.1185887E-03   2.3018576E-04   1.5220129E-06   2.1514851E-04   1.2460198E-06   2.3618086E-06   6.6289895E-05   5.8011514E-04   2.4439610E-05   7.5432917E-05   1.1762101E-04   5.3221850E-04   1.9265279E-07   3.3340271E-07   9.1080430E-03   9.5436067E-02
 kx_cw009        4.7698074E-08   6.7883466E-08   4.0314095E-06   6.1197920E-08   8.3961883E-11   1.8132154E-03   6.4211963E-04   9.2867186E-05   5.3045582E-06   3.6239173E-04   8.4279849E-07   5.0965559E-07   1.3349870E-05   8.2159229E-05   1.4354715E-05   8.4776086E-06   4.6698493E-06   1.7762360E-05   1.6171491E-09   3.0164691E-07   3.0625361E-03   5.5340185E-02
 kx_cw010        9.0192123E-12   8.1736197E-08   1.3390645E-04   1.1462636E-08   2.9928121E-10   4.6769873E-03   1.5365136E-03   1.0415116E-04   1.9332883E-06   6.5899772E-07   2.9889366E-08   1.9871128E-07   1.7209328E-05   1.5003034E-05   7.3055235E-06   1.8459393E-04   1.7848520E-04   1.5099518E-06   2.4680367E-07   5.5430974E-07   6.8593810E-03   8.2821380E-02
 kx_cw011        5.4921867E-11   6.8048245E-11   2.1228248E-07   1.6240861E-08   2.3925656E-12   7.3072020E-06   4.2019409E-06   9.8625144E-08   6.1448838E-09   4.3195134E-09   5.0951658E-10   2.1717181E-09   2.0496140E-06   4.9537698E-07   5.3157598E-06   1.1654766E-07   5.3722018E-07   1.7509596E-07   2.1920205E-10   3.6945432E-09   2.0543091E-05   4.5324486E-03
 kx_cw012        3.5305962E-09   6.2177627E-11   9.7645383E-07   1.0540873E-08   3.8117874E-09   9.2903471E-08   1.0292888E-06   1.2717508E-07   3.6494319E-09   1.8184479E-07   4.4100168E-10   1.3981694E-09   1.5955266E-06   9.2678728E-07   8.7678317E-06   7.3324186E-08   6.0019987E-07   1.1632735E-06   3.2848098E-10   8.8436214E-08   1.5646808E-05   3.9556046E-03
 kx_cw013        7.3584706E-11   5.7693730E-10   6.3586920E-08   9.5810120E-10   5.6667647E-11   7.4449656E-06   9.7458158E-07   2.0669852E-07   6.0216161E-11   8.5198797E-09   2.1847783E-10   2.4002426E-09   4.3181183E-07   4.9085979E-09   2.0345152E-07   4.7365904E-07   5.7943521E-07   2.3655070E-07   2.5518794E-10   5.4509288E-09   1.0638220E-05   3.2616284E-03
 kx_cw014        2.0897243E-11   2.7396032E-10   4.3500938E-09   2.5942239E-10   3.1537663E-13   3.5474720E-06   1.0063597E-06   1.1042049E-07   1.1102312E-09   4.1805932E-09   3.2433233E-12   1.1301586E-13   4.1258624E-08   4.2001086E-09   1.1270583E-06   2.6336912E-08   1.2635964E-07   1.0404265E-07   3.8258564E-11   9.7821628E-10   6.1047238E-06   2.4707739E-03
 kx_cw015        7.6055958E-08   1.0493822E-08   1.6453544E-05   3.1537669E-08   2.4058243E-09   1.7462519E-04   1.2377528E-04   1.5639778E-05   2.0436742E-07   5.0250061E-06   1.7609499E-09   3.1214946E-08   1.2676114E-05   8.4625901E-10   3.4202258E-05   2.7646890E-07   7.5026319E-06   2.8095290E-06   2.2784165E-08   2.0610087E-06   3.9542827E-04   1.9885378E-02
 kx_ce001        4.9039399E-12   3.1217342E-14   4.7171171E-10   7.4083943E-12   9.3072860E-17   1.8151882E-07   2.9789668E-08   1.1476954E-09   8.0605500E-12   1.3455725E-10   4.3428888E-13   9.6999451E-13   6.3198072E-10   7.6913065E-11   9.6945631E-09   5.7492700E-10   7.0120883E-11   3.7261830E-12   1.0507067E-12   1.1383683E-11   2.2414893E-07   4.7344369E-04
 kx_ce002        1.1056649E-12   6.9051575E-14   6.1827638E-11   1.2701239E-12   1.9755638E-15   5.9405271E-08   8.1904773E-09   4.4001712E-10   1.3670779E-12   4.2707616E-11   9.7958088E-15   2.6410204E-13   7.4290198E-11   7.2763168E-11   7.3624787E-10   4.3391442E-13   8.7877756E-15   5.1110980E-12   3.6610104E-13   9.3367958E-12   6.9042946E-08   2.6276024E-04
 kx_ce003        1.1008288E-11   3.8976180E-14   7.9599740E-10   4.5381559E-13   2.2823699E-13   3.5181631E-06   1.0948940E-06   6.5567786E-08   1.7018598E-09   4.4943204E-10   6.9073820E-11   5.8827849E-10   2.5894201E-07   2.5992266E-08   3.6794522E-08   3.4103691E-10   1.0346723E-08   1.7872300E-09   1.1157960E-10   1.2394094E-09   5.0177960E-06   2.2400438E-03
 kx_ce004        2.7526940E-15   2.6983666E-15   2.5939292E-14   6.0256547E-15   1.8839666E-16   2.3271374E-11   1.3006513E-11   1.1658881E-12   3.0660982E-14   1.1403411E-13   2.4777136E-15   9.2544506E-15   4.9395596E-13   6.4430729E-13   6.9067943E-12   2.5333134E-12   3.0078418E-12   4.7168782E-13   5.7939013E-15   9.6041593E-15   5.1711105E-11   7.1910434E-06
 kx_ce005        4.6632094E-12   1.5425448E-09   8.8377372E-09   1.1675725E-09   1.6804580E-13   2.8944918E-05   7.0656663E-06   6.4436190E-07   2.7439153E-08   1.2515265E-06   3.3879639E-09   2.6169988E-13   4.7564219E-07   3.4121564E-09   4.2670183E-07   5.8341868E-07   7.3569378E-07   4.2793228E-06   3.0819939E-10   8.9309304E-10   4.4454246E-05   6.6674017E-03
 kx_ce006        2.6459233E-12   1.4733759E-13   1.7124393E-09   5.4487501E-12   2.0715035E-13   2.7448983E-06   9.8676925E-07   5.9513415E-08   1.2854353E-09   8.8036477E-09   1.3676256E-11   4.0008383E-10   8.2366100E-08   8.1655100E-09   2.2650431E-09   3.8660038E-08   3.8502679E-08   7.2337849E-08   1.0838476E-13   1.3687889E-10   4.0458389E-06   2.0114271E-03
 kx_ce007        1.3650936E-14   7.5880442E-16   3.7088551E-12   3.8360062E-14   9.4419605E-17   1.8769785E-09   3.0931475E-10   1.2325577E-11   9.9942602E-14   3.3832591E-13   1.2607626E-14   4.2140943E-14   7.6450995E-12   2.8310005E-14   7.9910943E-12   3.6612835E-12   3.9715901E-13   1.8663929E-12   9.3078872E-17   2.7690437E-16   2.2244633E-09   4.7164216E-05
 kx_ce008        1.8757446E-11   9.6375362E-13   4.6959871E-10   4.1702570E-12   7.9369557E-16   3.2541787E-07   6.7739662E-08   2.8665344E-09   4.0790251E-11   6.4228200E-10   1.1130428E-12   2.6052816E-12   9.0886543E-11   3.6912741E-11   6.2388276E-09   3.9901549E-11   1.6805782E-13   2.3964515E-11   2.4207799E-13   1.9103244E-12   4.0363716E-07   6.3532445E-04
 kx_ce009        1.8438726E-13   3.5317338E-14   8.6315773E-10   7.1327084E-12   2.2840771E-14   2.8361741E-09   8.8491604E-09   5.8443938E-10   6.8538158E-11   3.5963577E-10   9.5758044E-12   1.1354548E-10   4.9668520E-08   4.8295639E-09   2.6195779E-11   1.2069185E-10   1.8185788E-10   1.9117678E-09   5.6927052E-12   6.7250625E-12   7.0442617E-08   2.6541028E-04
 kx_ce010        5.5423546E-12   1.1292151E-08   3.9818148E-07   2.3322661E-08   5.9854432E-12   2.1830063E-06   1.0324435E-05   2.1180115E-07   1.0021396E-06   1.1314825E-04   7.7999054E-08   1.9642664E-08   2.2515432E-05   1.3956774E-04   2.0208032E-07   7.4221992E-06   6.1453954E-06   6.5272314E-06   3.4839536E-08   2.6653904E-10   3.0981526E-04   1.7601570E-02
 kx_ce011        2.7594656E-13   1.7720291E-15   3.6814363E-11   4.4174822E-13   1.5504077E-16   9.3921960E-09   1.4848252E-09   6.0805923E-11   4.4586456E-13   2.0283119E-12   2.3211255E-14   5.0859693E-14   1.7722263E-11   2.8804162E-12   5.5686240E-10   6.0104745E-11   1.5763943E-11   9.8351081E-14   4.1514777E-14   9.6835411E-13   1.1632351E-08   1.0785338E-04
 kx_ce012        2.9824070E-11   4.1950981E-12   3.2363813E-11   5.6456181E-12   3.3582762E-14   1.1085650E-06   3.0955059E-07   1.7793234E-08   6.4478058E-10   3.8293902E-08   2.3620817E-10   5.7504816E-12   2.4463095E-08   9.1560602E-07   1.3071487E-07   2.5141165E-07   4.2255194E-07   4.8741199E-06   9.6819152E-10   1.4540280E-12   8.0949987E-06   2.8451711E-03
 kx_ce013        1.2236490E-11   8.2434218E-14   8.7278304E-12   1.2857966E-12   1.5551994E-14   2.0643220E-06   5.9180890E-07   3.4531777E-08   8.4568398E-10   6.3356031E-10   1.9733592E-11   2.2509771E-10   9.1111620E-08   1.0566624E-08   2.6017521E-08   1.7161903E-10   6.5947407E-10   4.0672799E-10   3.5136570E-11   3.9489202E-10   2.8217727E-06   1.6798133E-03
 kx_ce014        1.9305186E-11   1.1187832E-08   4.1798727E-07   2.2180807E-08   4.8296135E-12   9.5174395E-07   8.0813838E-06   1.3987477E-07   1.0309504E-06   1.1117759E-04   7.8954737E-08   2.2291629E-08   2.2948581E-05   1.3927039E-04   3.4399810E-08   8.7573750E-06   7.5413619E-06   5.1137643E-06   3.7388485E-08   1.0532575E-11   3.0563744E-04   1.7482489E-02
 kx_ce015        3.0229990E-11   3.9179347E-10   1.5899514E-10   2.0061491E-10   6.8611872E-17   1.0239069E-05   2.5894482E-06   2.0717967E-07   1.3108432E-08   6.5797726E-07   2.1177866E-09   4.6090500E-10   1.2847125E-09   1.1429548E-06   2.1290726E-07   1.6301502E-07   1.6413442E-07   1.7642168E-08   4.7291966E-11   1.3284223E-10   1.5412262E-05   3.9258453E-03
 kx_cms001       2.0945992E-07   2.9955442E-10   2.4832210E-05   1.4616434E-06   6.8987300E-09   0.4371233       0.1383174       9.1844461E-03   1.9570845E-04   1.8568919E-05   3.5829287E-07   3.7184604E-06   5.7633722E-04   1.0989696E-04   1.3031178E-03   2.4382510E-07   1.6420983E-07   2.2604830E-04   4.1981511E-08   3.1350333E-06   0.5870890       0.7662173    
 kx_cms002       1.5362016E-07   1.0976660E-10   2.1432270E-05   4.6250082E-07   4.9188741E-12   5.3844510E-02   1.4033553E-02   7.7258290E-04   1.4378015E-05   3.1426304E-06   9.4181170E-08   8.0304506E-07   1.8385725E-04   2.1347834E-05   1.7832769E-04   1.3476572E-08   5.9987641E-07   2.0018767E-05   3.5289581E-08   1.1293744E-06   6.9096442E-02   0.2628620    
 kx_cms003       3.0081185E-07   7.9058622E-09   2.3329741E-05   1.0441997E-06   1.7828468E-11   0.1045271       2.8867131E-02   1.7960110E-03   5.2932415E-05   1.6184570E-04   9.2044924E-11   1.9581045E-06   4.9971186E-04   2.6369085E-04   1.4020148E-03   3.4776281E-05   7.4868443E-05   3.2002079E-06   3.3149385E-07   1.0963695E-06   0.1377114       0.3710948    
 kx_cms004       5.6158222E-08   6.6887720E-10   5.3143366E-05   5.7897826E-07   3.1018118E-10   1.8195770E-02   3.1070380E-03   1.2305824E-04   2.1512519E-07   2.6276445E-04   3.4759393E-07   2.6988170E-08   8.6040024E-05   1.8399476E-04   4.2314097E-05   1.4652040E-04   2.5305974E-05   3.9621054E-05   1.1661372E-08   5.2699165E-09   2.2266813E-02   0.1492207    
 kx_cms005       4.1475080E-11   1.2297878E-09   3.9910636E-07   1.2149856E-08   3.7456263E-09   4.9577877E-03   1.4586828E-03   9.7683195E-05   1.8294567E-06   3.6088117E-06   8.3706338E-09   4.1278869E-08   1.3653186E-05   2.1219103E-08   3.3699916E-07   1.1396270E-07   6.5398135E-08   2.7567780E-08   2.5352955E-09   9.4524699E-07   6.5352239E-03   8.0840732E-02
 kx_cms006       9.1618795E-08   1.3646750E-08   1.1089152E-05   1.3725048E-10   3.0174535E-11   5.5318039E-02   1.4103030E-02   7.1960498E-04   1.2577507E-05   2.1172156E-05   3.7548564E-07   1.0401398E-06   3.8065580E-04   3.1137068E-05   4.1538996E-03   5.8156877E-05   6.6314228E-07   1.5627836E-04   8.4837230E-07   2.2586292E-05   7.4991260E-02   0.2738453    
 kx_cms007       2.8829641E-09   1.4809345E-09   5.5854613E-08   5.2463842E-08   8.7848292E-10   2.1426984E-03   5.5425587E-04   2.9587984E-05   2.6974429E-07   1.7169175E-06   4.3139866E-08   2.0694708E-07   2.8877936E-05   2.1141694E-05   3.5542021E-04   4.6386623E-06   6.7727687E-06   6.8891330E-07   3.0661764E-07   9.6442175E-06   3.1563835E-03   5.6181701E-02
 kx_cms008       4.7008036E-08   3.9736667E-09   8.5315862E-06   9.6602323E-08   3.6394415E-12   2.7171878E-02   6.8973751E-03   3.8077613E-04   6.2103062E-06   8.0053748E-06   1.2288222E-07   2.9989922E-07   7.6575410E-05   9.3650766E-06   1.0877750E-03   1.5979039E-05   2.5859301E-06   3.9244595E-05   2.3348605E-07   7.5557748E-06   3.5712661E-02   0.1889779    
 kx_cms009       1.1458842E-08   3.3106286E-09   1.7866836E-06   5.4156143E-10   9.4352180E-10   1.8278730E-04   9.3181240E-05   9.0873142E-06   5.1727033E-09   2.4175363E-07   6.6097233E-08   4.7397359E-08   2.0087312E-05   2.0604421E-04   4.6902687E-02   2.2293391E-03   1.0046679E-03   2.4658970E-05   2.7654537E-06   2.9222397E-05   5.0706691E-02   0.2251815    
 kx_cms010       2.5658180E-08   2.1940745E-08   4.4941122E-06   1.2954902E-09   8.8501163E-12   4.9407349E-03   1.4719527E-03   7.9413677E-05   3.6193838E-09   1.2504484E-04   5.3330370E-08   1.0445574E-07   7.9701047E-05   1.1808640E-04   6.9690987E-05   8.2406147E-06   3.1587687E-06   4.6572750E-06   5.3989338E-09   1.0767823E-07   6.9054987E-03   8.3099330E-02
 kx_cms011       1.0721125E-07   2.2653541E-09   6.6811948E-06   5.1112925E-08   1.7229345E-09   2.3469622E-03   1.1805825E-03   8.9519904E-05   1.2757205E-07   2.2086852E-04   5.2948173E-07   8.5896276E-08   1.4722874E-04   1.7636095E-03   3.8710936E-03   3.5060974E-05   3.0794542E-04   8.8898879E-05   8.8942410E-08   4.5806095E-04   1.0517507E-02   0.1025549    
 kx_cms012       1.3265906E-08   5.7125906E-09   4.3528492E-06   2.7966690E-08   3.6760644E-09   3.1622046E-05   2.5419548E-05   8.0580019E-07   6.5198293E-08   1.0414639E-06   5.5704480E-08   3.2110569E-11   3.5039764E-05   1.3092768E-04   7.2515009E-03   1.6646576E-04   4.3652653E-05   7.9217638E-06   4.7455958E-08   2.8019448E-06   7.7017712E-03   8.7759736E-02
 kx_cms013       7.5659063E-11   4.5393398E-10   4.3241340E-10   7.8762164E-10   1.6359722E-10   2.3420056E-05   5.3754254E-06   2.9202602E-07   1.4418959E-10   1.0516112E-07   6.9401320E-10   8.3554399E-10   4.8159678E-09   5.9707375E-06   8.1068804E-04   3.3663135E-05   1.5420677E-05   3.4588416E-07   5.1654482E-08   6.0456839E-07   8.9594577E-04   2.9932353E-02
 kx_cms014       4.1054985E-08   1.1980255E-08   6.8657604E-07   2.2896827E-07   3.0678168E-11   1.0437212E-02   2.4809801E-03   1.6053897E-04   7.4428958E-06   1.3105831E-04   1.8372147E-07   1.1475625E-08   3.5346357E-08   1.6004396E-04   1.5231067E-04   4.5634823E-06   1.0179785E-05   4.5035582E-10   1.1693136E-07   5.0198100E-07   1.3546149E-02   0.1163879    
 kx_cms015       3.5798616E-12   1.4954971E-10   6.0286662E-08   8.9737622E-10   1.3451730E-10   6.3765754E-05   1.5033680E-05   1.2163606E-06   1.5127436E-08   9.1996988E-08   2.9047717E-11   3.6047853E-09   6.5243289E-07   4.4330023E-08   1.1385489E-05   3.1041964E-07   2.2284286E-07   1.4316340E-06   2.1507339E-10   6.2380754E-09   9.4241626E-05   9.7078126E-03
 kx_ku001        5.7537375E-11   9.0214723E-12   1.6039485E-09   1.1517743E-10   5.4756386E-16   1.2559928E-09   8.1346706E-09   2.8069247E-09   4.7234027E-15   1.4262129E-09   3.8900633E-13   1.1352416E-09   6.1519125E-09   2.0027773E-11   2.0547728E-08   5.8054555E-09   5.8874323E-09   6.5261809E-12   1.1800083E-10   2.7443023E-09   5.7826507E-08   2.4047143E-04
 kx_ku002        1.2574642E-11   8.5893229E-13   1.5878104E-08   3.2957093E-13   3.5394870E-12   1.2806477E-10   1.1028134E-09   3.2100805E-11   2.5876674E-10   3.0353997E-08   2.4908847E-10   2.6799978E-10   2.3563767E-09   3.1902444E-08   9.5431701E-08   1.1204716E-08   1.1440255E-08   3.1665105E-08   8.8124626E-10   1.2266920E-08   2.4543700E-07   4.9541599E-04
